# Frequency (GHz),Output Power (W)
3.383875000000000077e-01,1.336069458709892772e-06
3.458849999999999980e-01,1.395571381532544519e-06
3.533824999999999883e-01,1.456345633050133315e-06
3.608799999999999786e-01,1.518390192842638264e-06
3.683775000000000244e-01,1.581703000688064039e-06
3.758750000000000147e-01,1.646281956777793930e-06
3.833725000000000049e-01,1.712124921935853422e-06
3.908699999999999952e-01,1.779229717841407547e-06
3.983674999999999855e-01,1.847594127255034505e-06
4.058649999999999758e-01,1.917215894248362653e-06
4.133625000000000216e-01,1.988092724437014306e-06
4.208600000000000119e-01,2.060222285217346151e-06
4.283575000000000021e-01,2.133602206005765703e-06
4.358549999999999924e-01,2.208230078482002338e-06
4.433524999999999827e-01,2.284103456835020447e-06
4.508499999999999730e-01,2.361219858012605734e-06
4.583475000000000188e-01,2.439576761973453238e-06
4.658450000000000091e-01,2.519171611942612984e-06
4.733424999999999994e-01,2.600001814669965478e-06
4.808399999999999896e-01,2.682064740691093029e-06
4.883374999999999799e-01,2.765357724591806022e-06
4.958350000000000257e-01,2.849878065274763057e-06
5.033324999999999605e-01,2.935623026228734250e-06
5.108300000000000063e-01,3.022589835801376336e-06
5.183275000000000521e-01,3.110775687473695484e-06
5.258249999999999869e-01,3.200177740137369700e-06
5.333225000000000326e-01,3.290793118374618244e-06
5.408199999999999674e-01,3.382618912740526192e-06
5.483175000000000132e-01,3.475652180047386614e-06
5.558149999999999480e-01,3.569889943651674067e-06
5.633124999999999938e-01,3.665329193743051391e-06
5.708100000000000396e-01,3.761966887635789276e-06
5.783074999999999743e-01,3.859799950061554636e-06
5.858050000000000201e-01,3.958825273465409657e-06
5.933024999999999549e-01,4.059039718302532103e-06
6.008000000000000007e-01,4.160440113337770630e-06
6.082975000000000465e-01,4.263023255946581198e-06
6.157949999999999813e-01,4.366785912417923504e-06
6.232925000000000271e-01,4.471724818258319561e-06
6.307899999999999618e-01,4.577836678498858243e-06
6.382875000000000076e-01,4.685118168001997396e-06
6.457850000000000534e-01,4.793565931771521991e-06
6.532824999999999882e-01,4.903176585263092665e-06
6.607800000000000340e-01,5.013946714695915724e-06
6.682774999999999688e-01,5.125872877366775531e-06
6.757750000000000146e-01,5.238951601964431107e-06
6.832724999999999493e-01,5.353179388885290916e-06
6.907699999999999951e-01,5.468552710550818980e-06
6.982675000000000409e-01,5.585068011725482244e-06
7.057649999999999757e-01,5.702721709835446727e-06
7.132625000000000215e-01,5.821510195289380237e-06
7.207599999999999563e-01,5.941429831798524099e-06
7.282575000000000021e-01,6.062476956698995123e-06
7.357550000000000479e-01,6.184647881274133305e-06
7.432524999999999826e-01,6.307938891077549185e-06
7.507500000000000284e-01,6.432346246256742103e-06
7.582474999999999632e-01,6.557866181878182970e-06
7.657450000000000090e-01,6.684494908251502577e-06
7.732425000000000548e-01,6.812228611254971633e-06
7.807399999999999896e-01,6.941063452661533902e-06
7.882375000000000353e-01,7.070995570464168508e-06
7.957349999999999701e-01,7.202021079203369807e-06
8.032325000000000159e-01,7.334136070292493591e-06
8.107299999999999507e-01,7.467336612344787191e-06
8.182274999999999965e-01,7.601618751500561035e-06
8.257250000000000423e-01,7.736978511753398827e-06
8.332224999999999770e-01,7.873411895277763627e-06
8.407200000000000228e-01,8.010914882754462642e-06
8.482174999999999576e-01,8.149483433698252464e-06
8.557150000000000034e-01,8.289113486783941673e-06
8.632125000000000492e-01,8.429800960172125824e-06
8.707099999999999840e-01,8.571541751835737289e-06
8.782075000000000298e-01,8.714331739884518160e-06
8.857049999999999645e-01,8.858166782891099144e-06
8.932025000000000103e-01,9.003042720214862602e-06
9.006999999999999451e-01,9.148955372326713620e-06
9.081974999999999909e-01,9.295900541131587802e-06
9.156950000000000367e-01,9.443874010292471868e-06
9.231924999999999715e-01,9.592871545551817080e-06
9.306900000000000173e-01,9.742888895053310118e-06
9.381874999999999520e-01,9.893921789663139124e-06
9.456849999999999978e-01,1.004596594328898801e-05
