# Frequency (GHz),Electric Dipole Moment * 377 (Vm),Magnetic Dipole Moment (Vm)
8.407200000000000000e-01,4.644826131330714977e-04,5.993896372937764297e-03
8.482175000000000000e-01,4.725915813302170531e-04,6.044572338349156644e-03
8.557150000000000000e-01,4.807652553238574026e-04,6.095178504380243008e-03
8.632125000000000000e-01,4.890034567598915268e-04,6.145714427784981088e-03
8.707100000000000000e-01,4.973060063372845233e-04,6.196179669277362273e-03
8.782075000000000000e-01,5.056727238223736537e-04,6.246573793540821651e-03
8.857050000000000000e-01,5.141034280633550741e-04,6.296896369238326290e-03
8.932025000000000000e-01,5.225979370044290953e-04,6.347146969021236207e-03
9.007000000000000000e-01,5.311560677006087585e-04,6.397325169537777627e-03
9.081975000000000000e-01,5.397776363317578676e-04,6.447430551441299396e-03
9.156950000000000000e-01,5.484624582175658819e-04,6.497462699397785202e-03
9.231925000000000000e-01,5.572103478316102346e-04,6.547421202092869666e-03
9.306900000000000000e-01,5.660211188163792552e-04,6.597305652238818867e-03
9.381875000000000000e-01,5.748945839974338012e-04,6.647115646580254930e-03
9.456850000000000000e-01,5.838305553983612253e-04,6.696850785900306489e-03
9.531825000000000000e-01,5.928288442552543530e-04,6.746510675025432953e-03
9.606800000000000000e-01,6.018892610313136262e-04,6.796094922830440456e-03
9.681775000000000000e-01,6.110116154316476552e-04,6.845603142242666882e-03
9.756750000000000000e-01,6.201957164178878304e-04,6.895034950245838151e-03
9.831725000000000000e-01,6.294413722229542886e-04,6.944389967883329504e-03
9.906700000000000000e-01,6.387483903656103511e-04,6.993667820261175241e-03
9.981675000000000000e-01,6.481165776654292847e-04,7.042868136550600559e-03
1.005665000000000000e+00,6.575457402573013600e-04,7.091990549989721573e-03
1.013162500000000000e+00,6.670356836063381619e-04,7.141034697885373719e-03
1.020659999999999881e+00,6.765862125225576744e-04,7.190000221614043299e-03
1.028157500000000000e+00,6.861971311755495247e-04,7.238886766622613413e-03
1.035655000000000000e+00,6.958682431093342986e-04,7.287693982428388242e-03
1.043152499999999881e+00,7.055993512570992582e-04,7.336421522619198006e-03
1.050650000000000119e+00,7.153902579558673799e-04,7.385069044852434449e-03
1.058147500000000000e+00,7.252407649612491181e-04,7.433636210853868630e-03
1.065645000000000000e+00,7.351506734622990100e-04,7.482122686416691620e-03
1.073142500000000119e+00,7.451197840959661398e-04,7.530528141398773641e-03
1.080640000000000000e+00,7.551478969621642232e-04,7.578852249720854743e-03
1.088137500000000000e+00,7.652348116380965201e-04,7.627094689363718080e-03
1.095635000000000000e+00,7.753803271932160901e-04,7.675255142364759489e-03
1.103132500000000000e+00,7.855842422037365375e-04,7.723333294814423503e-03
1.110630000000000000e+00,7.958463547672930266e-04,7.771328836852216954e-03
1.118127500000000000e+00,8.061664625176971893e-04,7.819241462662544773e-03
1.125625000000000000e+00,8.165443626393162476e-04,7.867070870469389590e-03
1.133122500000000000e+00,8.269798518819046831e-04,7.914816762531608901e-03
1.140620000000000000e+00,8.374727265748464246e-04,7.962478845136742103e-03
1.148117500000000000e+00,8.480227826419896612e-04,8.010056828595768161e-03
1.155615000000000000e+00,8.586298156159241591e-04,8.057550427236033139e-03
1.163112500000000000e+00,8.692936206526697069e-04,8.104959359394954890e-03
1.170610000000000000e+00,8.800139925457471082e-04,8.152283347412790995e-03
1.178107500000000000e+00,8.907907257409884922e-04,8.199522117624896689e-03
1.185605000000000000e+00,9.016236143505457473e-04,8.246675400354216978e-03
